word,vocab_rank,semantic_rank,zone,pc1,pc2
ช่องลม,15949,34758,red,-0.042838794278144646,0.07673308051613575
ช่างกล,15950,32724,red,-0.15742667425187928,-0.02067713509209046
ซอว์,15951,45503,red,-0.08875362165690129,0.21715394479068262
ซีร์,15952,26246,red,-0.01602052337788139,0.34032402278483953
ถึงที่สุด,15953,7017,red,-0.10212024456393869,-0.2159539737552059
ทุพพลภาพ,15954,15365,red,-0.11917523749042046,-0.19510676655561038
ทูลกระหม่อม,15955,7381,red,-0.07392852094949687,-0.07745288663759684
บ๊อช,15956,28545,red,-0.1126686375150677,0.12760535237221046
ประพฤติมิชอบ,15957,6833,red,-0.1428204344275376,-0.14803792493194098
ปัญ,15958,39724,red,-0.028415983353149633,0.19960722753440463
พลจัตวา,15959,33302,red,-0.052069791369110816,0.18982269518659278
ภาคปฏิบัติ,15960,2663,red,-0.1309350685054104,-0.2003970658155471
สักครั้ง,15961,3163,red,-0.07853678526266955,-0.1360178710688873
สเนป,15962,11129,red,-0.08261770225770257,0.02872067979491108
สเล,15963,30439,red,-0.03493019388544248,0.20795699072978627
หยอด,15964,17199,red,-0.09245985611241217,-0.04947989955533409
หลีกหนี,15965,19357,red,-0.1307350216301511,-0.2390155694061827
หุ้นสามัญ,15966,23412,red,-0.15501734154484437,-0.009865151400735786
อลเวง,15967,25321,red,-0.11377655733293254,-0.030649622039502562
อีเจียน,15968,11344,red,-0.10794756950738604,0.050221470408153154
เข้าใจง่าย,15969,16345,red,-0.16744072958202905,-0.21467562981340454
เคปเลอร์,15970,39158,red,-0.10493575145512164,0.06126442180240664
เซนด์,15971,29108,red,-0.09007390123626363,0.12178660000392878
เต็มเปี่ยม,15972,15312,red,-0.13133878928917045,-0.18567747070809823
เบ็ด,15973,13203,red,-0.1012927698241756,0.034025410254517635
เพื่อประโยชน์ของ,15974,32460,red,-0.07445608840580965,-0.24006905135573423
เมริเดียนแรก,15975,15184,red,-0.051740873581689856,-0.050853417342502184
เวชภัณฑ์,15976,24313,red,-0.08921012786469906,-0.1040151741877475
เสียงส่วนใหญ่,15977,40163,red,-0.143585645390291,-0.14777262567189073
เส้นเขตแดน,15978,25890,red,-0.19083773454397884,-0.15400799848329186
แก่นเรื่อง,15979,17611,red,-0.0901611246028883,-0.19032267643499615
แปลน,15980,43127,red,-0.10930342273350127,-0.001410521119138623
แป๊ะ,15981,42985,red,-0.04363955528897684,0.0778903196268768
แรงกระตุ้น,15982,28307,red,-0.1334126522890717,-0.25521741529908715
ในหลวง,15983,7237,red,-0.10903176989181508,-0.17362126549295012
กลอย,15984,30250,red,-0.07706585282269914,0.1076966189555705
กว้างไกล,15985,9044,red,-0.1497061466005432,-0.14319628426191466
กัสตัส,15986,13218,red,-0.09494416379397069,0.1759949416909518
กีดขวาง,15987,8877,red,-0.14611662225080413,-0.2270097532765951
กึน,15988,5820,red,-0.08870055714606202,0.17281126206583028
ขัติ,15989,35823,red,-0.04543546257912369,0.15370469617174595
ขิว,15990,32483,red,0.008584481922139734,0.09829166765360493
คลอดลูก,15991,571,yellow,-0.09157976664216338,-0.10988667356269065
ชู้สาว,15992,20397,red,-0.12731110769742607,-0.08226899455454788
ดาวพุธ,15993,11373,red,-0.1640032839684064,-0.12179018043356732
ทรายขาว,15994,22411,red,-0.0688772622722382,-0.057145058218980624
ทางลัด,15995,32162,red,-0.05481470038914168,-0.0216750513441524
ที่หลบภัย,15996,7641,red,-0.15490065643735432,-0.16292435407211564
น้ำตาลทราย,15997,21683,red,-0.10044663447215843,-0.11988921424223087
บั้ง,15998,11282,red,-0.05947183286236633,-0.019797429772071166
ปวดหลัง,15999,15709,red,-0.13837319326130348,-0.1387024728721587
ปิดประตู,16000,36467,red,-0.0975418985766879,-0.1301119753904597
ปีระกา,16001,1460,yellow,-0.03160155459716399,0.07859932340284807
